name,time,hex,type,ZTMS001-太阳电池阵1电流,ZTMS002-太阳电池阵2电流,ZTMS003-太阳电池阵3电流,ZTMS004-太阳电池阵4电流,ZTMS005-太阳电池阵1电压,ZTMS006-太阳电池阵2电压,ZTMS007-太阳电池阵3电压,ZTMS008-太阳电池阵4电压,ZTMS009-帆板热刀1电压,ZTMS010-帆板热刀2电压,ZTMS011-帆板热刀3电压,ZTMS012-帆板热刀4电压,ZTMS013-帆板展开电压,ZTMS015-帆板1状态,ZTMS015-帆板2状态,ZTMS015-备用1,ZTMS015-电推期望加断电,ZTMS016-星箭分离信号1,ZTMS016-星箭分离信号2,ZTMS016-天线A展开状态（未用）,ZTMS016-天线B展开状态（未用）,ZTMS017-蓄电池放电开关,ZTMS018-单体采样开关,ZTMS019-硬件过放保护,ZTMS020-星箭分离开关使能继电器,ZTMS021-整星工作模式,ZTMS021-整星状态,ZTMS021-星务执行放电开关状态,ZTMS021-星务执行星箭分离禁能状态,ZTMS021-重要数据恢复状态,ZTMS021-扩展板加电状态,ZTMS022-测控主机上行工作模式,ZTMS022-测控备机上行工作模式,ZTMS022-测控下行工作模式,ZTMS022-DCS上行遥控,ZTMS022-DCS备用通道下行,ZTMS022-DCS应急功能,ZTMS023-热复位计数,ZTMS024-时间程控指令接收计数,ZTMS025-时间程控指令执行计数,ZTMS026-X轮总线无应答计数,ZTMS126-X轮总线,ZTMS026-X轮通信状态,ZTMS026-X轮期望状态,ZTMS027-Y轮总线无应答计数,ZTMS027-Y轮总线,ZTMS027-Y轮通信状态,ZTMS027-Y轮期望状态,ZTMS028-Z轮总线无应答计数,ZTMS028-Z轮总线,ZTMS028-Z轮通信状态,ZTMS028-Z轮期望状态,ZTMS029-S轮总线无应答计数,ZTMS029-S轮总线,ZTMS029-S轮通信状态,ZTMS029-S轮期望状态,ZTMS030-备用2,ZTMS030-太敏总线无应答计数,ZTMS030-太敏当前通信状态,ZTMS030-太敏期望加断电状态,ZTMS031-备用3,ZTMS031-星敏A总线无应答计数,ZTMS031-星敏A当前通信状态,ZTMS031-星敏A期望加断电状态,ZTMS032-备用4,ZTMS032-星敏B总线无应答计数,ZTMS032-星敏B当前通信状态,ZTMS032-星敏B期望加断电状态,ZTMS033-备用5,ZTMS033-磁强计总线无应答计数,ZTMS033-磁强计当前通信状态,ZTMS033-磁强计期望加断电状态,ZTMS034-备用6,ZTMS034-主陀螺总线无应答计数,ZTMS034-主陀螺当前通信状态,ZTMS034-主陀螺期望加断电状态,ZTMS035-备用7,ZTMS035-备陀螺总线无应答计数,ZTMS035-备陀螺当前通信状态,ZTMS035-备陀螺期望加断电状态
0x0821,1730692567413000000,03ff808604025c00000000000000062cfbf08b2b0000b9f000ada90b0b0b03030303030303,1,2.4605,2.4956640625000004,0.203984375,0.0896640625,19.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9287109375,已展开,已展开,1,保持,已分离,已分离,0,0,通,通,禁能,禁能,长期运行模式,健康,通,执行,未恢复,加电,遥控模式,遥控模式,测控模式,使能,关闭,禁能,0,173,169,0,422总线,通信正常,保持,0,422总线,通信正常,保持,0,422总线,通信正常,保持,0,CAN总线,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持
0x0821,1730767332340000000,03ff515401018e350000000000000623fbf08b2b0000bdf00000000b0b1f0b030303030303,0,1.59118359375,1.5942968750000002,0.14849609375,0.07183203125,30.5078125,11.38671875,0.0,0.0,0.0,0.0,0.0,0.0,1.917724609375,已展开,已展开,1,保持,已分离,已分离,0,0,通,通,禁能,禁能,长期运行模式,健康,通,执行,从扩展板恢复,加电,遥控模式,遥控模式,测控模式,使能,关闭,禁能,0,0,0,0,422总线,通信正常,保持,0,422总线,通信正常,保持,1,422总线,通信异常,保持,0,422总线,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持
0x0821,1730767333340000000,03ff525601018f1d0000000000000623fbf08b2a0000bdf00000000b0b1f0b030303030303,0,1.6096796875000001,1.6303515625000002,0.14849609375,0.07183203125,30.72265625,6.23046875,0.0,0.0,0.0,0.0,0.0,0.0,1.917724609375,已展开,已展开,1,保持,已分离,已分离,0,0,通,通,禁能,禁能,长期运行模式,健康,通,执行,从扩展板恢复,加电,遥控模式,遥控模式,测控模式,使能,关闭,禁能,0,0,0,0,422总线,通信正常,保持,0,422总线,通信正常,保持,1,422总线,通信异常,保持,0,422总线,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持
0x0821,1730767334340000000,03ff525701018e110000000000000639fbf08b2a0000bdf00000000b0b1f0b030303030303,0,1.6096796875000001,1.64837890625,0.14849609375,0.07183203125,30.5078125,3.65234375,0.0,0.0,0.0,0.0,0.0,0.0,1.944580078125,已展开,已展开,1,保持,已分离,已分离,0,0,通,通,禁能,禁能,长期运行模式,健康,通,执行,从扩展板恢复,加电,遥控模式,遥控模式,测控模式,使能,关闭,禁能,0,0,0,0,422总线,通信正常,保持,0,422总线,通信正常,保持,1,422总线,通信异常,保持,0,422总线,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持
0x0821,1730767335340000000,03ff535701018e200000000000000633fbf08b2a0000bdf00000000b0b1f0b030303030303,0,1.6281757812500002,1.64837890625,0.14849609375,0.07183203125,30.5078125,6.875,0.0,0.0,0.0,0.0,0.0,0.0,1.937255859375,已展开,已展开,1,保持,已分离,已分离,0,0,通,通,禁能,禁能,长期运行模式,健康,通,执行,从扩展板恢复,加电,遥控模式,遥控模式,测控模式,使能,关闭,禁能,0,0,0,0,422总线,通信正常,保持,0,422总线,通信正常,保持,1,422总线,通信异常,保持,0,422总线,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持
0x0821,1730767336340000000,03ff545801018e0a0000000000000641fbf08b2a0000bdf00000000b0b1f0b030303030303,0,1.646671875,1.66640625,0.14849609375,0.07183203125,30.5078125,2.1484375,0.0,0.0,0.0,0.0,0.0,0.0,1.954345703125,已展开,已展开,1,保持,已分离,已分离,0,0,通,通,禁能,禁能,长期运行模式,健康,通,执行,从扩展板恢复,加电,遥控模式,遥控模式,测控模式,使能,关闭,禁能,0,0,0,0,422总线,通信正常,保持,0,422总线,通信正常,保持,1,422总线,通信异常,保持,0,422总线,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持
0x0821,1730767337340000000,03ff555901018e10000000000000061afbf08b2a0000bdf00000000b0b1f0b030303030303,0,1.66516796875,1.6844335937500001,0.14849609375,0.07183203125,30.5078125,3.4375,0.0,0.0,0.0,0.0,0.0,0.0,1.90673828125,已展开,已展开,1,保持,已分离,已分离,0,0,通,通,禁能,禁能,长期运行模式,健康,通,执行,从扩展板恢复,加电,遥控模式,遥控模式,测控模式,使能,关闭,禁能,0,0,0,0,422总线,通信正常,保持,0,422总线,通信正常,保持,1,422总线,通信异常,保持,0,422总线,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持
0x0821,1730767338340000000,03ff555901018e0f000000000000060afbf08b2a0000bdf00000000b0b1f0b030303030303,0,1.66516796875,1.6844335937500001,0.14849609375,0.07183203125,30.5078125,3.22265625,0.0,0.0,0.0,0.0,0.0,0.0,1.88720703125,已展开,已展开,1,保持,已分离,已分离,0,0,通,通,禁能,禁能,长期运行模式,健康,通,执行,从扩展板恢复,加电,遥控模式,遥控模式,测控模式,使能,关闭,禁能,0,0,0,0,422总线,通信正常,保持,0,422总线,通信正常,保持,1,422总线,通信异常,保持,0,422总线,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持
0x0821,1730767339340000000,03ff565a01018e1900000000000005fbfbf08b2a0000bdf00000000b0b1f0b030303030303,0,1.6836640625000001,1.7024609375000002,0.14849609375,0.07183203125,30.5078125,5.37109375,0.0,0.0,0.0,0.0,0.0,0.0,1.868896484375,已展开,已展开,1,保持,已分离,已分离,0,0,通,通,禁能,禁能,长期运行模式,健康,通,执行,从扩展板恢复,加电,遥控模式,遥控模式,测控模式,使能,关闭,禁能,0,0,0,0,422总线,通信正常,保持,0,422总线,通信正常,保持,1,422总线,通信异常,保持,0,422总线,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持
0x0821,1730767340340000000,03ff575b01018e070000000000000615fbf08b2a0000bdf00000000b0b1f0b030303030303,0,1.7021601562500002,1.7204882812500002,0.14849609375,0.07183203125,30.5078125,1.50390625,0.0,0.0,0.0,0.0,0.0,0.0,1.900634765625,已展开,已展开,1,保持,已分离,已分离,0,0,通,通,禁能,禁能,长期运行模式,健康,通,执行,从扩展板恢复,加电,遥控模式,遥控模式,测控模式,使能,关闭,禁能,0,0,0,0,422总线,通信正常,保持,0,422总线,通信正常,保持,1,422总线,通信异常,保持,0,422总线,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持,0,0,通信正常,保持
