name,time,hex,type,ZTMD001-配置文件号,ZTMD001-在轨更新及程序加载工作状态,ZTMD002-接收到的上注文件计数,ZTMD003-发射通道开启控制,ZTMD003-汇聚子板1,ZTMD003-汇聚子板2,ZTMD003-汇聚子板3,ZTMD003-汇聚子板4,ZTMD003-转发接口,ZTMD003-上注接口,ZTMD003-下传接口,ZTMD004-频谱采集开关,ZTMD004-频谱采集间隔,ZTMD005-下行广播开关,ZTMD005-忙闲指示帧开关,ZTMD005-保留,ZTMD006-整机温度,ZTMD007-FPGA（加载控制）状态,ZTMD007-FPGA（主）状态,ZTMD007-FPGA（从1）状态,ZTMD007-FPGA（从2）状态,ZTMD007-FPGA（从3）状态,ZTMD007-FPGA（从4）状态,ZTMD008-保留,ZTMD008-CAN在线状态,ZTMD008-载波监视本振1锁定指示,ZTMD009-PA功率遥测,ZTMD010-接收DCS载荷包计数,ZTMD011-数传上注包计数,ZTMD012-数传下行包计数,ZTMD013-下行业务帧余量,ZTMD014-CAN总线接收指令计数,ZTMD015-CAN总线执行指令计数,ZTMD016-心跳信号,ZTMD017-错误类型代码（保留）
0x0A6D,1730844927795000000,03ff000000fe000120f00000000000000000000000000200,0,0,空闲状态,0,关闭,开启,开启,开启,开启,开启,开启,开启,关闭,全速,开启广播,关闭,0,0.240000000000002,0,0,1,1,1,1,0,A总线,0,0.0,0,0,0,0,0,0,2,0
0x0A6D,1730844928795000000,03ff000000fe000120f00000000000000000000000000300,0,0,空闲状态,0,关闭,开启,开启,开启,开启,开启,开启,开启,关闭,全速,开启广播,关闭,0,0.240000000000002,0,0,1,1,1,1,0,A总线,0,0.0,0,0,0,0,0,0,3,0
0x0A6D,1730844929795000000,03ff000000fe000120f00000000000000000000000000400,0,0,空闲状态,0,关闭,开启,开启,开启,开启,开启,开启,开启,关闭,全速,开启广播,关闭,0,0.240000000000002,0,0,1,1,1,1,0,A总线,0,0.0,0,0,0,0,0,0,4,0
0x0A6D,1730844930795000000,03ff000000fe000120000000000000000000000000000500,0,0,空闲状态,0,关闭,开启,开启,开启,开启,开启,开启,开启,关闭,全速,开启广播,关闭,0,0.240000000000002,0,0,0,0,0,0,0,A总线,0,0.0,0,0,0,0,0,0,5,0
0x0A6D,1730844931795000000,03ff000000fe000120000000000000000000000000000600,0,0,空闲状态,0,关闭,开启,开启,开启,开启,开启,开启,开启,关闭,全速,开启广播,关闭,0,0.240000000000002,0,0,0,0,0,0,0,A总线,0,0.0,0,0,0,0,0,0,6,0
0x0A6D,1730844932795000000,03ff000000fe000120000000000000000000000000000700,0,0,空闲状态,0,关闭,开启,开启,开启,开启,开启,开启,开启,关闭,全速,开启广播,关闭,0,0.240000000000002,0,0,0,0,0,0,0,A总线,0,0.0,0,0,0,0,0,0,7,0
0x0A6D,1730844933795000000,03ff000000fe000120000000000000000000000000000800,0,0,空闲状态,0,关闭,开启,开启,开启,开启,开启,开启,开启,关闭,全速,开启广播,关闭,0,0.240000000000002,0,0,0,0,0,0,0,A总线,0,0.0,0,0,0,0,0,0,8,0
0x0A6D,1730844934795000000,03ff000000fe000120000000000000000000000000000900,0,0,空闲状态,0,关闭,开启,开启,开启,开启,开启,开启,开启,关闭,全速,开启广播,关闭,0,0.240000000000002,0,0,0,0,0,0,0,A总线,0,0.0,0,0,0,0,0,0,9,0
0x0A6D,1730844935795000000,03ff000000fe000120000000000000000000000000000a00,0,0,空闲状态,0,关闭,开启,开启,开启,开启,开启,开启,开启,关闭,全速,开启广播,关闭,0,0.240000000000002,0,0,0,0,0,0,0,A总线,0,0.0,0,0,0,0,0,0,10,0
0x0A6D,1730844936795000000,03ff000000fe000120000000000000000000000000000b00,0,0,空闲状态,0,关闭,开启,开启,开启,开启,开启,开启,开启,关闭,全速,开启广播,关闭,0,0.240000000000002,0,0,0,0,0,0,0,A总线,0,0.0,0,0,0,0,0,0,11,0
