name,time,hex,type,ZTMV001-遥测请求指令计数,ZTMV002-正确指令计数,ZTMV003-错误指令计数,ZTMV004-最近执行指令码,ZTMV005-DSP复位计数,ZTMV006-AIS接收本振锁定指示,ZTMV006-VDE接收本振锁定指示,ZTMV006-VDE发射本振锁定指示,ZTMV006-功放功率选择,ZTMV006-1pps状态指示,ZTMV006-DSP程序来源,ZTMV006-FLASH1状态,ZTMV006-FLASH0状态,ZTMV007-发射机开关,ZTMV007-未定义,ZTMV007-CAN总线使用标识,ZTMV007-中频采集工作状态,ZTMV008-AIS1通道信噪比,ZTMV009-AIS2通道信噪比,ZTMV010-ASM1通道信噪比,ZTMV011-ASM2通道信噪比,ZTMV012-LAIS1通道信噪比,ZTMV013-LAIS2通道信噪比,ZTMV014-VDE1通道信噪比,ZTMV015-VDE2通道信噪比,ZTMV016-VDE3通道信噪比,ZTMV017-VDE4通道信噪比,ZTMV018-VDE5通道信噪比,ZTMV019-VDE6通道信噪比,ZTMV020-错误类型识别码,ZTMV021-错误计数,ZTMV022-DSP当前版本,ZTMV023-3.6V电源,ZTMV024-5.3V电源,ZTMV025-7.7V电源,ZTMV026-发射功率,ZTMV027-温度遥测,ZTMV028-数传接收计数,ZTMV029-AIS包计数,ZTMV030-LAIS包计数,ZTMV031-ASM包计数,ZTMV032-VDE包计数,ZTMV033-时钟校正,ZTMV034-下行业务帧余量,ZTMV035-下行业务帧计数,ZTMV036-信息转发计数,ZTMV037-备用
0x0A73,1730692567413000000,03ff4a4303c607ff100408000000000000010015210c6c9242628f00510919b337aebf00147bb5120ff00000000005ab0f0000000007,1,74,67,3,error,7,锁定,锁定,锁定,4W,正常,FLASH1,有程序,有程序,关闭,0,B总线,解调模式,12.041199826559248,18.06179973983887,error,error,error,error,error,error,0.0,error,26.444385894678387,30.370278797557752,数传接收校验错误,108,146,3.403125,5.053125,7.3734375,0,26.6360435316368,2329,45879,44735,20,31669,18,4080,0,0,0x05ab0f0000000007
0x0A73,1730844852794000000,03ff0100000001e30000000000000000000000000000000041618e009c00000000000000000000000ff00000000005ab000000000000,0,1,0,0,未执行指令,1,锁定,锁定,锁定,2W,不正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,0,3.3515625,5.0015625,7.321874999999999,0,1.6499134642952529,0,0,0,0,0,0,4080,0,0,0x05ab000000000000
0x0A73,1730844853794000000,03ff0200000001eb0000000000000000000000000000000041618e009c00000000000000000000000ff00000000005ab000000000000,0,2,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,0,3.3515625,5.0015625,7.321874999999999,0,1.6499134642952529,0,0,0,0,0,0,4080,0,0,0x05ab000000000000
0x0A73,1730844854794000000,03ff0300000001eb0000000000000000000000000000000441618e009c00000000000000000000000ff00000000005ab020000000000,0,3,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,4,3.3515625,5.0015625,7.321874999999999,0,1.6499134642952529,0,0,0,0,0,0,4080,0,0,0x05ab020000000000
0x0A73,1730844855794000000,03ff0400000001eb0000000000000000000000000000000441618e009b00000000000000000000000ff00000000005ab020000000000,0,4,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,4,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,0,4080,0,0,0x05ab020000000000
0x0A73,1730844856794000000,03ff0500000001eb0000000000000000000000000000000441618e009b00000000000000000000000ff00000000005ab020000000000,0,5,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,4,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,0,4080,0,0,0x05ab020000000000
0x0A73,1730844857794000000,03ff0600000001eb0000000000000000000000000000008441618e009b00000000000000000000000ff00000000005ab060000000000,0,6,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,132,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,0,4080,0,0,0x05ab060000000000
0x0A73,1730844858794000000,03ff0700000001eb0000000000000000000000000000008441618e009b00000000000000000000000ff00000000005ab070000000000,0,7,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,132,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,0,4080,0,0,0x05ab070000000000
0x0A73,1730844859794000000,03ff0800000001eb0000000000000000000000000000008441618e009b00000000000000000000190ff00000000005ab070000000000,0,8,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,132,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab070000000000
0x0A73,1730844860794000000,03ff0900000001eb0000000000000000000000000000008441618e009b00000000000000000000190ff00000000005ab070000000000,0,9,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,132,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab070000000000
0x0A73,1730844861794000000,03ff0a00000001eb0000000000000000000000000000008441618e009b00000000000000000000190ff00000000005ab070000000000,0,10,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,132,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab070000000000
0x0A73,1730844862794000000,03ff0b00000001eb0000000000000000000000000000008441618e009b00000000000000000000190ff00000000005ab070000000000,0,11,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,132,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,25,4080,0,0,0x05ab070000000000
0x0A73,1730844863794000000,03ff0c00000001eb0000000000000000000000000000008441618e009b00000000000000000000130ff00000000005ab070000000000,0,12,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,132,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,19,4080,0,0,0x05ab070000000000
0x0A73,1730844864794000000,03ff0d00000001eb0000000000000000000000000000008441618e009b00000000000000000000130ff00000000005ab070000000000,0,13,0,0,未执行指令,1,锁定,锁定,锁定,2W,正常,FLASH0,有程序,有程序,关闭,0,A总线,解调模式,error,error,error,error,error,error,error,error,error,error,error,error,没有错误,0,132,3.3515625,5.0015625,7.321874999999999,0,1.9618665567375613,0,0,0,0,0,19,4080,0,0,0x05ab070000000000
